system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo
0,27.955877222775815,0.011436201993010665,0.3639710568575459,2019-01,Nagpur,1,1.0,16.33892151426165,84,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,33.013393387093316,-0.0421105359426229,0.34120288965685686,2019-02,Nagpur,1,2.0,6.934124777375984,86,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,41.09872401359162,-0.10841913457193436,0.2410827613299967,2019-03,Nagpur,1,3.0,10.040583459993545,90,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,47.770355614792344,-0.14541584475846106,0.20517649144007932,2019-04,Nagpur,1,4.0,10.160145608219752,87,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.958835406443825,-0.13236715553139966,0.17711420440580816,2019-05,Nagpur,1,5.0,6.56741642254388,85,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,46.42321903066979,-0.14471742381020936,0.15070441954813552,2019-06,Nagpur,1,6.0,120.76419949059022,86,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,37.73210898200777,0.031731249240431705,0.35117071459196925,2019-07,Nagpur,1,7.0,285.7145433426259,92,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,26.42613797906849,0.1608578653963921,0.40065284063463663,2019-08,Nagpur,1,8.0,402.3024060489026,84,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,28.5965281850603,0.21586227601659194,0.43328352521415997,2019-09,Nagpur,1,9.0,429.7775755291541,82,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,30.524754802663143,0.20047335955707868,0.570360799792502,2019-10,Nagpur,1,10.0,44.86027340534869,95,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,29.55450266438463,0.14829099458807882,0.5647106471990249,2019-11,Nagpur,1,11.0,6.710250989198912,87,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,26.36159802067702,0.0826920694486594,0.46669994730198483,2019-12,Nagpur,1,12.0,14.432812383952822,91,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,25.76643413997005,0.07314425605504037,0.4083445024841628,2020-01,Nagpur,1,1.0,10.192702513672065,93,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,30.163120369539595,0.03807345048248353,0.4318467505817771,2020-02,Nagpur,1,2.0,7.838905335625791,90,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,35.762501599364676,-0.07064444627656542,0.33692010355763274,2020-03,Nagpur,1,3.0,30.830241079088204,90,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,43.798218403977316,-0.1306871294021144,0.27171975936923026,2020-04,Nagpur,1,4.0,8.832472398302114,88,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
