system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore,stress_state,NDVI_lag1,NDMI_lag1,rainfall_lag1,LST_lag1,zscore_lag1,NDVI_lag2,NDVI_rolling3_mean,rainfall_rolling3_sum,NDVI_change_lag1,target_next_state,split
3,51.37885617390749,-0.0799891417017246,0.1647755154371726,2019-04,Beed,1,4.0,10.215657542105635,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.0264443688398711,-1.910323110529004,Persistent Stress,0.1786485871248756,-0.0610606290351106,0.4476443472073574,47.56725707066145,-1.3084854219827842,0.2011976580178494,0.2096687682520183,0.5071453133207716,-0.0225490708929737,Emerging Stress,train
4,50.10796535491537,-0.0758521578709622,0.1394435560809846,2019-05,Beed,1,5.0,3.441474986332775,62,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1860362883470375,0.0342891616580476,-1.3588180641656968,Emerging Stress,0.1647755154371726,-0.0799891417017246,10.215657542105635,51.37885617390749,-1.910323110529004,0.1786485871248756,0.1815405868599658,10.695744143921782,-0.013873071687703,Recovery,train
5,44.47476616562276,-0.0845250116897213,0.1068864454760809,2019-06,Beed,1,6.0,117.7902000404746,62,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1668793235320186,0.0516381797364768,-1.1617930446444296,Recovery,0.1394435560809846,-0.0758521578709622,3.441474986332775,50.10796535491537,-1.3588180641656968,0.1647755154371726,0.1609558862143442,14.104776875645769,-0.0253319593561879,Healthy,train
6,40.63074163379112,0.0091674041207788,0.2073804288820757,2019-07,Beed,1,7.0,171.29807954348743,64,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2064569165452775,0.1226866658122359,0.0075274059384049,Healthy,0.1068864454760809,-0.0845250116897213,117.7902000404746,44.47476616562276,-1.1617930446444296,0.1394435560809846,0.1370351723314126,131.447332568913,-0.0325571106049037,Healthy,train
7,35.5426564402922,0.1119978621617866,0.3782456780427974,2019-08,Beed,1,8.0,97.02938011196598,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.0666295110200809,Healthy,0.2073804288820757,0.0091674041207788,171.29807954348743,40.63074163379112,0.0075274059384049,0.1068864454760809,0.1512368101463803,292.5297545702948,0.1004939834059948,Healthy,train
8,32.22948661893372,0.1595417029645548,0.4687768983612196,2019-09,Beed,1,9.0,269.4779139103599,56,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3982720487814459,0.1223848807280962,0.5760911736835777,Healthy,0.3782456780427974,0.1119978621617866,97.02938011196598,35.5426564402922,0.0666295110200809,0.2073804288820757,0.2308375174669846,386.117659695928,0.1708652491607217,Healthy,train
9,31.99400362402596,0.1476684786563946,0.4322701296234056,2019-10,Beed,1,10.0,216.25903431177176,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,-0.141486402516395,Healthy,0.4687768983612196,0.1595417029645548,269.4779139103599,32.22948661893372,0.5760911736835777,0.3782456780427974,0.3514676684286975,537.8053735658133,0.0905312203184222,Healthy,train
10,31.67169982228993,0.1181516174622805,0.4848405407794391,2019-11,Beed,1,11.0,24.62471490130613,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4262888716982356,0.0705724036269663,0.8296680582214204,Healthy,0.4322701296234056,0.1476684786563946,216.25903431177176,31.99400362402596,-0.141486402516395,0.4687768983612196,0.4264309020091408,582.7663283340976,-0.036506768737814,Healthy,train
11,29.6386434796687,0.0942919045358735,0.3917571162521023,2019-12,Beed,1,12.0,3.928243782012641,67,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.0283611004727708,-0.9198328325740146,Healthy,0.4848405407794391,0.1181516174622805,24.62471490130613,31.67169982228993,0.8296680582214204,0.4322701296234056,0.4619625229213548,510.3616631234378,0.0525704111560335,Healthy,train
12,30.79404248716915,0.0500767157194341,0.3894742534327984,2020-01,Beed,1,1.0,0.0716944475551763,64,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3626732960931506,0.057439538546204,0.4665942313949687,Healthy,0.3917571162521023,0.0942919045358735,3.928243782012641,29.6386434796687,-0.9198328325740146,0.4848405407794391,0.4362892622183156,244.8119929950905,-0.0930834245273368,Healthy,train
13,35.5056168754403,0.0038853789674575,0.3146855762507902,2020-02,Beed,1,2.0,0.0,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3034761900094065,0.0516767756518183,0.2169134219384914,Healthy,0.3894742534327984,0.0500767157194341,0.0716944475551763,30.79404248716915,0.4665942313949687,0.3917571162521023,0.4220239701547799,28.62465313087395,-0.0022828628193038,Healthy,train
14,42.024190638044736,-0.0379132109808048,0.2616060847153736,2020-03,Beed,1,3.0,6.629897318811858,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2309495183129395,0.0399705876041101,0.7669781266683625,Healthy,0.3146855762507902,0.0038853789674575,0.0,35.5056168754403,0.2169134219384914,0.3894742534327984,0.3653056486452302,3.9999382295678174,-0.0747886771820082,Healthy,train
15,48.46597622364681,-0.0684458082381143,0.2274397479299865,2020-04,Beed,1,4.0,6.511114092074903,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.0264443688398711,0.4593395148966694,Healthy,0.2616060847153736,-0.0379132109808048,6.629897318811858,42.024190638044736,0.7669781266683625,0.3146855762507902,0.3219219714663207,6.701591766367034,-0.0530794915354165,Healthy,train
16,47.2172226541136,-0.0701424893488637,0.1787676392327485,2020-05,Beed,1,5.0,20.623830905314705,58,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1860362883470375,0.0342891616580476,-0.2119809514964648,Healthy,0.2274397479299865,-0.0684458082381143,6.511114092074903,48.46597622364681,0.4593395148966694,0.2616060847153736,0.26791046963205,13.141011410886762,-0.0341663367853871,Healthy,train
17,38.7315575413636,-0.0071950868015811,0.2131092343236729,2020-06,Beed,1,6.0,212.4512533275096,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1668793235320186,0.0516381797364768,0.8952660807870769,Healthy,0.1787676392327485,-0.0701424893488637,20.623830905314705,47.2172226541136,-0.2119809514964648,0.2274397479299865,0.2226044906260361,33.76484231620147,-0.048672108697238,Healthy,train
